station,line
Tucuruvi,1-Azul
Parada Inglesa,1-Azul
Jardim São Paulo - Ayrton Senna,1-Azul
Santana,1-Azul
Carandiru,1-Azul
Portuguesa-Tietê (ex Tietê),1-Azul
Armênia (ex Ponte Pequena),1-Azul
Tiradentes,1-Azul
Luz,1-Azul
São Bento,1-Azul
Sé,1-Azul
Japão - Liberdade,1-Azul
São Joaquim,1-Azul
Vergueiro,1-Azul
Paraíso,1-Azul
Ana Rosa,1-Azul
Vila Mariana,1-Azul
Santa Cruz,1-Azul
Praça da Árvore,1-Azul
Saúde,1-Azul
São Judas,1-Azul
Conceição,1-Azul
Jabaquara,1-Azul
Vila Madalena,2-Verde
Sumaré,2-Verde
Clínicas,2-Verde
Consolação,2-Verde
Trianon-Masp,2-Verde
Brigadeiro,2-Verde
Paraíso,2-Verde
Ana Rosa,2-Verde
Chácara Klabin,2-Verde
Santos-Imigrantes,2-Verde
Alto do Ipiranga,2-Verde
Sacomã,2-Verde
Tamanduateí,2-Verde
Vila Prudente,2-Verde
Palmeiras-Barra Funda,3-Vermelha
Marechal Deodoro,3-Vermelha
Santa Cecília,3-Vermelha
República,3-Vermelha
Anhangabaú,3-Vermelha
Sé,3-Vermelha
Pedro II,3-Vermelha
Brás,3-Vermelha
Bresser-Mooca,3-Vermelha
Belém,3-Vermelha
Tatuapé,3-Vermelha
Carrão,3-Vermelha
Penha,3-Vermelha
Vila Matilde,3-Vermelha
Guilhermina-Esperança,3-Vermelha
Patriarca,3-Vermelha
Artur Alvim,3-Vermelha
Corinthians-Itaquera,3-Vermelha
São Paulo-Morumbi,4-Amarela
Butantã,4-Amarela
Pinheiros,4-Amarela
Faria Lima,4-Amarela
Fradique Coutinho,4-Amarela
Oscar Freire,4-Amarela
Paulista,4-Amarela
Higienópolis-Mackenzie,4-Amarela
República,4-Amarela
Luz,4-Amarela
Capão Redondo,5-Lilás
Campo Limpo,5-Lilás
Vila das Belezas,5-Lilás
Giovanni Gronchi,5-Lilás
Santo Amaro,5-Lilás
Largo Treze,5-Lilás
Adolfo Pinheiro,5-Lilás
Alto da Boa Vista,5-Lilás
Borba Gato,5-Lilás
Brooklin,5-Lilás
Campo Belo,5-Lilás
Eucaliptos,5-Lilás
Moema,5-Lilás
AACD-Servidor,5-Lilás
Hospital São Paulo,5-Lilás
Santa Cruz,5-Lilás
Chácara Klabin,5-Lilás
Luz,7-Rubi
Palmeiras-Barra Funda,7-Rubi
Água Branca,7-Rubi
Lapa,7-Rubi
Piqueri,7-Rubi
Pirituba,7-Rubi
Vila Clarice,7-Rubi
Jaraguá,7-Rubi
Perus,7-Rubi
Caieiras,7-Rubi
Franco da Rocha,7-Rubi
Baltazar Fidélis,7-Rubi
Francisco Morato,7-Rubi
Botujuru,7-Rubi
Campo Limpo Paulista,7-Rubi
Várzea Paulista,7-Rubi
Jundiaí,7-Rubi
Júlio Prestes,8-Diamante
Palmeiras-Barra Funda,8-Diamante
Lapa,8-Diamante
Domingos de Moraes,8-Diamante
Imperatriz Leopoldina,8-Diamante
Presidente Altino,8-Diamante
Osasco,8-Diamante
Comandante Sampaio,8-Diamante
Quitaúna,8-Diamante
General Miguel Costa (ex km 21),8-Diamante
Carapicuíba,8-Diamante
Santa Terezinha,8-Diamante
Antônio João,8-Diamante
Barueri,8-Diamante
Jardim Belval,8-Diamante
Jardim Silveira,8-Diamante
Jandira,8-Diamante
Sagrado Coração,8-Diamante
Engenheiro Cardoso,8-Diamante
Itapevi,8-Diamante
Santa Rita,8-Diamante
Amador Bueno,8-Diamante
Osasco,9-Esmeralda
Presidente Altino,9-Esmeralda
Ceasa,9-Esmeralda
Vila Lobos-Jaguaré,9-Esmeralda
Cidade Universitária,9-Esmeralda
Pinheiros,9-Esmeralda
Hebraica-Rebouças,9-Esmeralda
Cidade Jardim,9-Esmeralda
Vila Olímpia,9-Esmeralda
Berrini,9-Esmeralda
Morumbi,9-Esmeralda
Granja Julieta,9-Esmeralda
Santo Amaro,9-Esmeralda
Socorro,9-Esmeralda
Jurubatuba,9-Esmeralda
Autódromo,9-Esmeralda
Primavera-Interlagos,9-Esmeralda
Grajaú,9-Esmeralda
Brás,10-Turquesa
Mooca,10-Turquesa
Ipiranga,10-Turquesa
Tamanduateí,10-Turquesa
São Caetano,10-Turquesa
Utinga,10-Turquesa
Prefeito Saladino,10-Turquesa
Prefeito Celso Daniel - Santo André,10-Turquesa
Capuava,10-Turquesa
Mauá,10-Turquesa
Guapituba,10-Turquesa
Ribeirão Pires,10-Turquesa
Rio Grande da Serra,10-Turquesa
Luz,11-Coral
Brás,11-Coral
Tatuapé,11-Coral
Itaquera,11-Coral
Dom Bosco,11-Coral
José Bonifácio,11-Coral
Guaianases,11-Coral
Antônio Gianetti Neto,11-Coral
Ferraz de Vasconcelos,11-Coral
Poá,11-Coral
Calmon Viana,11-Coral
Suzano,11-Coral
Jundiapeba,11-Coral
Brás Cubas,11-Coral
Mogi das Cruzes,11-Coral
Estudantes,11-Coral
Brás,12-Safira
Tatuapé,12-Safira
Engenheiro Goulart,12-Safira
USP Leste,12-Safira
Comendador Ermelino,12-Safira
São Miguel Paulista,12-Safira
Jardim Helena-Vila Mara,12-Safira
Itaim Paulista,12-Safira
Jardim Romano,12-Safira
Engenheiro Manoel Feio,12-Safira
Itaquaquecetuba,12-Safira
Aracaré,12-Safira
Calmon Viana,12-Safira
Luz,13-Jade
Brás,13-Jade
Tatuapé,13-Jade
Eng. Goulart,13-Jade
Guarulhos-Cecap,13-Jade
Aeroporto-Guarulhos,13-Jade
Vila Prudente,15-prata
Oratório,15-prata
São Lucas,15-prata
Camilo Haddad,15-prata
Vila Tolstói,15-prata
Vila União,15-prata
Jd. Planalto,15-prata
Sapopemba,15-prata
Fazenda da Juta,15-prata
São Mateus,15-prata