Source,Color,Target
Tucuruvi,#5595c0,Parada Inglesa
Parada Inglesa,#5595c0,Jardim São Paulo - Ayrton Senna
Jardim São Paulo - Ayrton Senna,#5595c0,Santana
Santana,#5595c0,Carandiru
Carandiru,#5595c0,Portuguesa-Tietê (ex Tietê)
Portuguesa-Tietê (ex Tietê),#5595c0,Armênia (ex Ponte Pequena)
Armênia (ex Ponte Pequena),#5595c0,Tiradentes
Tiradentes,#5595c0,Luz
Luz,#5595c0,São Bento
São Bento,#5595c0,Sé
Sé,#5595c0,Japão - Liberdade
Japão - Liberdade,#5595c0,São Joaquim
São Joaquim,#5595c0,Vergueiro
Vergueiro,#5595c0,Paraíso
Paraíso,#5595c0,Ana Rosa
Ana Rosa,#5595c0,Vila Mariana
Vila Mariana,#5595c0,Santa Cruz
Santa Cruz,#5595c0,Praça da Árvore
Praça da Árvore,#5595c0,Saúde
Saúde,#5595c0,São Judas
São Judas,#5595c0,Conceição
Conceição,#5595c0,Jabaquara
Vila Madalena,#56aab2,Sumaré
Sumaré,#56aab2,Clínicas
Clínicas,#56aab2,Consolação
Consolação,#56aab2,Trianon-Masp
Trianon-Masp,#56aab2,Brigadeiro
Brigadeiro,#56aab2,Paraíso
Ana Rosa,#56aab2,Chácara Klabin
Chácara Klabin,#56aab2,Santos-Imigrantes
Santos-Imigrantes,#56aab2,Alto do Ipiranga
Alto do Ipiranga,#56aab2,Sacomã
Sacomã,#56aab2,Tamanduateí
Tamanduateí,#56aab2,Vila Prudente
Palmeiras-Barra Funda,#e33f35,Marechal Deodoro
Marechal Deodoro,#e33f35,Santa Cecília
Santa Cecília,#e33f35,República
República,#e33f35,Anhangabaú
Anhangabaú,#e33f35,Sé
Sé,#e33f35,Pedro II
Pedro II,#e33f35,Brás
Brás,#e33f35,Bresser-Mooca
Bresser-Mooca,#e33f35,Belém
Belém,#e33f35,Tatuapé
Tatuapé,#e33f35,Carrão
Carrão,#e33f35,Penha
Penha,#e33f35,Vila Matilde
Vila Matilde,#e33f35,Guilhermina-Esperança
Guilhermina-Esperança,#e33f35,Patriarca
Patriarca,#e33f35,Artur Alvim
Artur Alvim,#e33f35,Corinthians-Itaquera
São Paulo-Morumbi,#ffd500,Butantã
Butantã,#ffd500,Pinheiros
Pinheiros,#ffd500,Faria Lima
Faria Lima,#ffd500,Fradique Coutinho
Fradique Coutinho,#ffd500,Oscar Freire
Oscar Freire,#ffd500,Paulista
Paulista,#ffd500,Higienópolis-Mackenzie
Higienópolis-Mackenzie,#ffd500,República
República,#ffd500,Luz
Capão Redondo,#7e00f8,Campo Limpo
Campo Limpo,#7e00f8,Vila das Belezas
Vila das Belezas,#7e00f8,Giovanni Gronchi
Giovanni Gronchi,#7e00f8,Santo Amaro
Santo Amaro,#7e00f8,Largo Treze
Largo Treze,#7e00f8,Adolfo Pinheiro
Adolfo Pinheiro,#7e00f8,Alto da Boa Vista
Alto da Boa Vista,#7e00f8,Borba Gato
Borba Gato,#7e00f8,Brooklin
Brooklin,#7e00f8,Campo Belo
Campo Belo,#7e00f8,Eucaliptos
Eucaliptos,#7e00f8,Moema
Moema,#7e00f8,AACD-Servidor
AACD-Servidor,#7e00f8,Hospital São Paulo
Hospital São Paulo,#7e00f8,Santa Cruz
Santa Cruz,#7e00f8,Chácara Klabin
Luz,#a3246a,Palmeiras-Barra Funda
Palmeiras-Barra Funda,#a3246a,Água Branca
Água Branca,#a3246a,Lapa
Lapa,#a3246a,Piqueri
Piqueri,#a3246a,Pirituba
Pirituba,#a3246a,Vila Clarice
Vila Clarice,#a3246a,Jaraguá
Jaraguá,#a3246a,Perus
Perus,#a3246a,Caieiras
Caieiras,#a3246a,Franco da Rocha
Franco da Rocha,#a3246a,Baltazar Fidélis
Baltazar Fidélis,#a3246a,Francisco Morato
Francisco Morato,#a3246a,Botujuru
Botujuru,#a3246a,Campo Limpo Paulista
Campo Limpo Paulista,#a3246a,Várzea Paulista
Várzea Paulista,#a3246a,Jundiaí
Júlio Prestes,#a6a49b,Palmeiras-Barra Funda
Palmeiras-Barra Funda,#a6a49b,Lapa
Lapa,#a6a49b,Domingos de Moraes
Domingos de Moraes,#a6a49b,Imperatriz Leopoldina
Imperatriz Leopoldina,#a6a49b,Presidente Altino
Presidente Altino,#a6a49b,Osasco
Osasco,#a6a49b,Comandante Sampaio
Comandante Sampaio,#a6a49b,Quitaúna
Quitaúna,#a6a49b,General Miguel Costa (ex km 21)
General Miguel Costa (ex km 21),#a6a49b,Carapicuíba
Carapicuíba,#a6a49b,Santa Terezinha
Santa Terezinha,#a6a49b,Antônio João
Antônio João,#a6a49b,Barueri
Barueri,#a6a49b,Jardim Belval
Jardim Belval,#a6a49b,Jardim Silveira
Jardim Silveira,#a6a49b,Jandira
Jandira,#a6a49b,Sagrado Coração
Sagrado Coração,#a6a49b,Engenheiro Cardoso
Engenheiro Cardoso,#a6a49b,Itapevi
Itapevi,#a6a49b,Santa Rita
Santa Rita,#a6a49b,Amador Bueno
Presidente Altino,#00af90,Ceasa
Ceasa,#00af90,Vila Lobos-Jaguaré
Vila Lobos-Jaguaré,#00af90,Cidade Universitária
Cidade Universitária,#00af90,Pinheiros
Pinheiros,#00af90,Hebraica-Rebouças
Hebraica-Rebouças,#00af90,Cidade Jardim
Cidade Jardim,#00af90,Vila Olímpia
Vila Olímpia,#00af90,Berrini
Berrini,#00af90,Morumbi
Morumbi,#00af90,Granja Julieta
Granja Julieta,#00af90,Santo Amaro
Santo Amaro,#00af90,Socorro
Socorro,#00af90,Jurubatuba
Jurubatuba,#00af90,Autódromo
Autódromo,#00af90,Primavera-Interlagos
Primavera-Interlagos,#00af90,Grajaú
Brás,#52adc7,Mooca
Mooca,#52adc7,Ipiranga
Ipiranga,#52adc7,Tamanduateí
Tamanduateí,#52adc7,São Caetano
São Caetano,#52adc7,Utinga
Utinga,#52adc7,Prefeito Saladino
Prefeito Saladino,#52adc7,Prefeito Celso Daniel - Santo André
Prefeito Celso Daniel - Santo André,#52adc7,Capuava
Capuava,#52adc7,Mauá
Mauá,#52adc7,Guapituba
Guapituba,#52adc7,Ribeirão Pires
Ribeirão Pires,#52adc7,Rio Grande da Serra
Luz,#ff4c1b,Brás
Brás,#ff4c1b,Tatuapé
Tatuapé,#ff4c1b,Itaquera
Itaquera,#ff4c1b,Dom Bosco
Dom Bosco,#ff4c1b,José Bonifácio
José Bonifácio,#ff4c1b,Guaianases
Guaianases,#ff4c1b,Antônio Gianetti Neto
Antônio Gianetti Neto,#ff4c1b,Ferraz de Vasconcelos
Ferraz de Vasconcelos,#ff4c1b,Poá
Poá,#ff4c1b,Calmon Viana
Calmon Viana,#ff4c1b,Suzano
Suzano,#ff4c1b,Jundiapeba
Jundiapeba,#ff4c1b,Brás Cubas
Brás Cubas,#ff4c1b,Mogi das Cruzes
Mogi das Cruzes,#ff4c1b,Estudantes
Tatuapé,#063b88,Engenheiro Goulart
Engenheiro Goulart,#063b88,USP Leste
USP Leste,#063b88,Comendador Ermelino
Comendador Ermelino,#063b88,São Miguel Paulista
São Miguel Paulista,#063b88,Jardim Helena-Vila Mara
Jardim Helena-Vila Mara,#063b88,Itaim Paulista
Itaim Paulista,#063b88,Jardim Romano
Jardim Romano,#063b88,Engenheiro Manoel Feio
Engenheiro Manoel Feio,#063b88,Itaquaquecetuba
Itaquaquecetuba,#063b88,Aracaré
Aracaré,#063b88,Calmon Viana
Tatuapé,#19b05c,Eng. Goulart
Eng. Goulart,#19b05c,Guarulhos-Cecap
Guarulhos-Cecap,#19b05c,Aeroporto-Guarulhos
Vila Prudente,#7b9192,Oratório
Oratório,#7b9192,São Lucas
São Lucas,#7b9192,Camilo Haddad
Camilo Haddad,#7b9192,Vila Tolstói
Vila Tolstói,#7b9192,Vila União
Vila União,#7b9192,Jd. Planalto
Jd. Planalto,#7b9192,Sapopemba
Sapopemba,#7b9192,Fazenda da Juta
Fazenda da Juta,#7b9192,São Mateus